Epoch:20 | loss:0.84 | acc:0.5644 | prec0:0.5196 | prec1:0.5714 | prec2:0.6333 | recall0:0.6709  | recall1:0.5455 | recall2:0.4750
Epoch:21 | loss:1.12 | acc:0.5600 | prec0:0.5048 | prec1:0.5362 | prec2:0.7059 | recall0:0.6709  | recall1:0.5606 | recall2:0.4500
Epoch:22 | loss:1.00 | acc:0.5156 | prec0:0.4853 | prec1:0.4545 | prec2:0.6552 | recall0:0.4177  | recall1:0.6818 | recall2:0.4750
Epoch:23 | loss:0.97 | acc:0.5778 | prec0:0.5138 | prec1:0.6667 | prec2:0.6216 | recall0:0.7089  | recall1:0.4242 | recall2:0.5750
Epoch:24 | loss:1.17 | acc:0.5511 | prec0:0.5057 | prec1:0.5250 | prec2:0.6552 | recall0:0.5570  | recall1:0.6364 | recall2:0.4750
Epoch:25 | loss:0.86 | acc:0.5867 | prec0:0.5595 | prec1:0.5493 | prec2:0.6571 | recall0:0.5949  | recall1:0.5909 | recall2:0.5750
Epoch:26 | loss:1.24 | acc:0.5556 | prec0:0.5309 | prec1:0.5122 | prec2:0.6452 | recall0:0.5443  | recall1:0.6364 | recall2:0.5000
Epoch:27 | loss:1.10 | acc:0.5867 | prec0:0.5517 | prec1:0.5714 | prec2:0.6471 | recall0:0.6076  | recall1:0.6061 | recall2:0.5500
Epoch:28 | loss:0.79 | acc:0.5778 | prec0:0.5750 | prec1:0.5294 | prec2:0.6500 | recall0:0.5823  | recall1:0.6818 | recall2:0.4875
Epoch:29 | loss:1.03 | acc:0.5378 | prec0:0.5556 | prec1:0.4688 | prec2:0.6212 | recall0:0.4430  | recall1:0.6818 | recall2:0.5125
Epoch:30 | loss:1.07 | acc:0.5911 | prec0:0.5904 | prec1:0.5443 | prec2:0.6508 | recall0:0.6203  | recall1:0.6515 | recall2:0.5125
Epoch:31 | loss:0.86 | acc:0.5556 | prec0:0.5806 | prec1:0.4778 | prec2:0.6301 | recall0:0.4557  | recall1:0.6515 | recall2:0.5750
Epoch:32 | loss:0.73 | acc:0.5600 | prec0:0.5526 | prec1:0.5122 | prec2:0.6269 | recall0:0.5316  | recall1:0.6364 | recall2:0.5250
Epoch:33 | loss:0.98 | acc:0.5600 | prec0:0.5775 | prec1:0.5057 | prec2:0.6119 | recall0:0.5190  | recall1:0.6667 | recall2:0.5125
Epoch:34 | loss:1.03 | acc:0.5867 | prec0:0.5400 | prec1:0.5882 | prec2:0.6667 | recall0:0.6835  | recall1:0.6061 | recall2:0.4750
Epoch:35 | loss:1.23 | acc:0.5956 | prec0:0.5974 | prec1:0.5694 | prec2:0.6184 | recall0:0.5823  | recall1:0.6212 | recall2:0.5875
Epoch:36 | loss:0.82 | acc:0.5467 | prec0:0.5342 | prec1:0.4773 | prec2:0.6562 | recall0:0.4937  | recall1:0.6364 | recall2:0.5250
Epoch:37 | loss:1.02 | acc:0.5511 | prec0:0.6034 | prec1:0.4831 | prec2:0.5897 | recall0:0.4430  | recall1:0.6515 | recall2:0.5750
Epoch:38 | loss:0.99 | acc:0.5733 | prec0:0.5258 | prec1:0.6071 | prec2:0.6111 | recall0:0.6456  | recall1:0.5152 | recall2:0.5500
Epoch:39 | loss:0.97 | acc:0.5733 | prec0:0.5444 | prec1:0.5417 | prec2:0.6508 | recall0:0.6203  | recall1:0.5909 | recall2:0.5125
Epoch:40 | loss:0.97 | acc:0.5511 | prec0:0.5432 | prec1:0.5000 | prec2:0.6212 | recall0:0.5570  | recall1:0.5909 | recall2:0.5125
Epoch:41 | loss:1.25 | acc:0.5956 | prec0:0.5474 | prec1:0.5909 | prec2:0.6719 | recall0:0.6582  | recall1:0.5909 | recall2:0.5375
