Epoch:31 | loss:1.06 | acc:0.4133 | prec0:0.3933 | prec1:0.4615 | prec2:0.4124 | recall0:0.4930  | recall1:0.2250 | recall2:0.5405
Epoch:32 | loss:1.07 | acc:0.4044 | prec0:0.3636 | prec1:0.4267 | prec2:0.4057 | recall0:0.2254  | recall1:0.4000 | recall2:0.5811
Epoch:33 | loss:1.12 | acc:0.4178 | prec0:0.4200 | prec1:0.4000 | prec2:0.4750 | recall0:0.2958  | recall1:0.6750 | recall2:0.2568
Epoch:34 | loss:1.05 | acc:0.3644 | prec0:1.0000 | prec1:0.3641 | prec2:0.2941 | recall0:0.0282  | recall1:0.9375 | recall2:0.0676
Epoch:35 | loss:1.03 | acc:0.4578 | prec0:0.5000 | prec1:0.4713 | prec2:0.4186 | recall0:0.3662  | recall1:0.5125 | recall2:0.4865
Epoch:36 | loss:1.05 | acc:0.4844 | prec0:0.5000 | prec1:0.4902 | prec2:0.4561 | recall0:0.4648  | recall1:0.6250 | recall2:0.3514
Epoch:37 | loss:1.09 | acc:0.4178 | prec0:0.7273 | prec1:0.3953 | prec2:0.4286 | recall0:0.1127  | recall1:0.8500 | recall2:0.2432
Epoch:38 | loss:1.05 | acc:0.4844 | prec0:0.5333 | prec1:0.4741 | prec2:0.4490 | recall0:0.4507  | recall1:0.6875 | recall2:0.2973
Epoch:39 | loss:0.95 | acc:0.4311 | prec0:0.5714 | prec1:0.4646 | prec2:0.3714 | recall0:0.1690  | recall1:0.5750 | recall2:0.5270
Epoch:40 | loss:1.12 | acc:0.4178 | prec0:0.4839 | prec1:0.4651 | prec2:0.3611 | recall0:0.2113  | recall1:0.5000 | recall2:0.5270
Epoch:41 | loss:1.05 | acc:0.4489 | prec0:0.4783 | prec1:0.4296 | prec2:0.4865 | recall0:0.3099  | recall1:0.7625 | recall2:0.2432
Epoch:42 | loss:0.97 | acc:0.4889 | prec0:0.4861 | prec1:0.5375 | prec2:0.4384 | recall0:0.4930  | recall1:0.5375 | recall2:0.4324
Epoch:43 | loss:1.11 | acc:0.4800 | prec0:0.4574 | prec1:0.5556 | prec2:0.4237 | recall0:0.6056  | recall1:0.5000 | recall2:0.3378
Epoch:44 | loss:1.10 | acc:0.4578 | prec0:0.5625 | prec1:0.4427 | prec2:0.4355 | recall0:0.2535  | recall1:0.7250 | recall2:0.3649
Epoch:45 | loss:1.16 | acc:0.4978 | prec0:0.5263 | prec1:0.4825 | prec2:0.5000 | recall0:0.4225  | recall1:0.6875 | recall2:0.3649
Epoch:46 | loss:1.04 | acc:0.4711 | prec0:0.6429 | prec1:0.4701 | prec2:0.4125 | recall0:0.2535  | recall1:0.6875 | recall2:0.4459
Epoch:47 | loss:0.83 | acc:0.4800 | prec0:0.4362 | prec1:0.5114 | prec2:0.5116 | recall0:0.5775  | recall1:0.5625 | recall2:0.2973
Epoch:48 | loss:1.10 | acc:0.4667 | prec0:0.4697 | prec1:0.5778 | prec2:0.4211 | recall0:0.4366  | recall1:0.3250 | recall2:0.6486
Epoch:49 | loss:1.15 | acc:0.4711 | prec0:0.5227 | prec1:0.4672 | prec2:0.4407 | recall0:0.3239  | recall1:0.7125 | recall2:0.3514
0.4676543209876543
Epoch:0 | loss:1.12 | acc:0.3422 | prec0:0.3333 | prec1:0.3750 | prec2:0.3333 | recall0:0.7042  | recall1:0.2250 | recall2:0.1216
Epoch:1 | loss:1.06 | acc:0.3644 | prec0:0.3043 | prec1:0.3061 | prec2:0.4299 | recall0:0.2958  | recall1:0.1875 | recall2:0.6216
Epoch:2 | loss:1.10 | acc:0.3333 | prec0:0.3241 | prec1:1.0000 | prec2:0.5000 | recall0:0.9859  | recall1:0.0125 | recall2:0.0541
Epoch:3 | loss:1.06 | acc:0.3689 | prec0:0.4340 | prec1:0.3595 | prec2:0.2632 | recall0:0.3239  | recall1:0.6875 | recall2:0.0676
Epoch:4 | loss:1.03 | acc:0.3556 | prec0:0.3403 | prec1:0.2963 | prec2:0.4259 | recall0:0.6901  | recall1:0.1000 | recall2:0.3108
Epoch:5 | loss:1.14 | acc:0.3822 | prec0:0.4177 | prec1:0.3797 | prec2:0.3433 | recall0:0.4648  | recall1:0.3750 | recall2:0.3108
Epoch:6 | loss:1.10 | acc:0.3644 | prec0:0.3548 | prec1:0.3587 | prec2:0.4000 | recall0:0.4648  | recall1:0.4125 | recall2:0.2162
Epoch:7 | loss:1.03 | acc:0.4133 | prec0:0.3958 | prec1:0.4259 | prec2:0.4267 | recall0:0.5352  | recall1:0.2875 | recall2:0.4324
Epoch:8 | loss:0.90 | acc:0.4489 | prec0:0.4071 | prec1:0.6047 | prec2:0.4203 | recall0:0.6479  | recall1:0.3250 | recall2:0.3919
Epoch:9 | loss:0.97 | acc:0.4044 | prec0:0.3837 | prec1:0.4322 | prec2:0.3333 | recall0:0.4648  | recall1:0.6375 | recall2:0.0946
Epoch:10 | loss:1.10 | acc:0.4356 | prec0:0.4031 | prec1:0.5490 | prec2:0.4000 | recall0:0.7324  | recall1:0.3500 | recall2:0.2432
Epoch:11 | loss:1.06 | acc:0.4400 | prec0:0.4059 | prec1:0.5312 | prec2:0.4000 | recall0:0.5775  | recall1:0.4250 | recall2:0.3243
Epoch:12 | loss:0.96 | acc:0.4400 | prec0:0.3983 | prec1:0.5217 | prec2:0.4211 | recall0:0.6620  | recall1:0.4500 | recall2:0.2162
Epoch:13 | loss:0.91 | acc:0.3956 | prec0:0.4493 | prec1:0.3981 | prec2:0.3125 | recall0:0.4366  | recall1:0.5375 | recall2:0.2027
Epoch:14 | loss:0.97 | acc:0.4044 | prec0:0.3889 | prec1:0.4375 | prec2:0.4023 | recall0:0.4930  | recall1:0.2625 | recall2:0.4730
Epoch:15 | loss:0.98 | acc:0.4222 | prec0:0.3828 | prec1:0.4923 | prec2:0.4375 | recall0:0.6901  | recall1:0.4000 | recall2:0.1892
Epoch:16 | loss:1.17 | acc:0.4356 | prec0:0.3918 | prec1:0.5135 | prec2:0.4074 | recall0:0.5352  | recall1:0.4750 | recall2:0.2973
Epoch:17 | loss:1.01 | acc:0.3822 | prec0:0.3551 | prec1:0.4222 | prec2:0.4286 | recall0:0.6901  | recall1:0.2375 | recall2:0.2432
Epoch:18 | loss:1.15 | acc:0.3822 | prec0:0.3529 | prec1:0.3684 | prec2:0.4082 | recall0:0.2535  | recall1:0.3500 | recall2:0.5405
Epoch:19 | loss:1.22 | acc:0.3956 | prec0:0.3647 | prec1:0.4318 | prec2:0.3846 | recall0:0.4366  | recall1:0.4750 | recall2:0.2703
Epoch:20 | loss:1.14 | acc:0.4400 | prec0:0.4054 | prec1:0.5000 | prec2:0.4545 | recall0:0.6338  | recall1:0.3000 | recall2:0.4054
Epoch:21 | loss:1.14 | acc:0.4400 | prec0:0.4167 | prec1:0.4902 | prec2:0.4359 | recall0:0.5634  | recall1:0.3125 | recall2:0.4595
Epoch:22 | loss:1.01 | acc:0.4311 | prec0:0.3958 | prec1:0.4318 | prec2:0.5122 | recall0:0.5352  | recall1:0.4750 | recall2:0.2838
Epoch:23 | loss:0.97 | acc:0.4400 | prec0:0.3919 | prec1:0.4857 | prec2:0.4444 | recall0:0.4085  | recall1:0.4250 | recall2:0.4865
